[305]	validate-mlogloss:0.13038	train-mlogloss:0.01204
[306]	validate-mlogloss:0.13059	train-mlogloss:0.01201
[307]	validate-mlogloss:0.13055	train-mlogloss:0.01201
[308]	validate-mlogloss:0.13052	train-mlogloss:0.01201
[309]	validate-mlogloss:0.13037	train-mlogloss:0.01201
[310]	validate-mlogloss:0.13038	train-mlogloss:0.01201
[311]	validate-mlogloss:0.13024	train-mlogloss:0.01202
[312]	validate-mlogloss:0.13012	train-mlogloss:0.01199
[313]	validate-mlogloss:0.13020	train-mlogloss:0.01199
[314]	validate-mlogloss:0.13030	train-mlogloss:0.01199
[315]	validate-mlogloss:0.13022	train-mlogloss:0.01199
[316]	validate-mlogloss:0.13028	train-mlogloss:0.01199
[317]	validate-mlogloss:0.13032	train-mlogloss:0.01199
[318]	validate-mlogloss:0.13014	train-mlogloss:0.01199
[319]	validate-mlogloss:0.13019	train-mlogloss:0.01199
[320]	validate-mlogloss:0.13018	train-mlogloss:0.01199
[321]	validate-mlogloss:0.13016	train-mlogloss:0.01199
[322]	validate-mlogloss:0.12987	train-mlogloss:0.01196
[323]	validate-mlogloss:0.12968	train-mlogloss:0.01193
[324]	validate-mlogloss:0.12967	train-mlogloss:0.01193
[325]	validate-mlogloss:0.12995	train-mlogloss:0.01190
[326]	validate-mlogloss:0.12999	train-mlogloss:0.01186
[327]	validate-mlogloss:0.13005	train-mlogloss:0.01186
[328]	validate-mlogloss:0.13015	train-mlogloss:0.01186
[329]	validate-mlogloss:0.13021	train-mlogloss:0.01186
[330]	validate-mlogloss:0.13019	train-mlogloss:0.01186
[331]	validate-mlogloss:0.13012	train-mlogloss:0.01186
[332]	validate-mlogloss:0.13015	train-mlogloss:0.01186
[333]	validate-mlogloss:0.13016	train-mlogloss:0.01186
[334]	validate-mlogloss:0.13030	train-mlogloss:0.01186
[335]	validate-mlogloss:0.13045	train-mlogloss:0.01185
[336]	validate-mlogloss:0.13044	train-mlogloss:0.01185
[337]	validate-mlogloss:0.13038	train-mlogloss:0.01186
[338]	validate-mlogloss:0.13028	train-mlogloss:0.01186
[339]	validate-mlogloss:0.13019	train-mlogloss:0.01186
[340]	validate-mlogloss:0.13004	train-mlogloss:0.01183
[341]	validate-mlogloss:0.13008	train-mlogloss:0.01183
[342]	validate-mlogloss:0.13029	train-mlogloss:0.01182
[343]	validate-mlogloss:0.13062	train-mlogloss:0.01179
[344]	validate-mlogloss:0.13058	train-mlogloss:0.01179
[345]	validate-mlogloss:0.13062	train-mlogloss:0.01179
[346]	validate-mlogloss:0.13093	train-mlogloss:0.01174
[347]	validate-mlogloss:0.13092	train-mlogloss:0.01169
[348]	validate-mlogloss:0.13079	train-mlogloss:0.01169
[349]	validate-mlogloss:0.13081	train-mlogloss:0.01169
[350]	validate-mlogloss:0.13071	train-mlogloss:0.01169
[351]	validate-mlogloss:0.13077	train-mlogloss:0.01166
[352]	validate-mlogloss:0.13089	train-mlogloss:0.01166
[353]	validate-mlogloss:0.13128	train-mlogloss:0.01163
[354]	validate-mlogloss:0.13127	train-mlogloss:0.01163
[355]	validate-mlogloss:0.13151	train-mlogloss:0.01160
[356]	validate-mlogloss:0.13166	train-mlogloss:0.01159
[357]	validate-mlogloss:0.13161	train-mlogloss:0.01160
[358]	validate-mlogloss:0.13163	train-mlogloss:0.01160
[359]	validate-mlogloss:0.13173	train-mlogloss:0.01159
[360]	validate-mlogloss:0.13178	train-mlogloss:0.01159
[361]	validate-mlogloss:0.13180	train-mlogloss:0.01159
[362]	validate-mlogloss:0.13189	train-mlogloss:0.01159
[363]	validate-mlogloss:0.13194	train-mlogloss:0.01159
[364]	validate-mlogloss:0.13192	train-mlogloss:0.01159
[365]	validate-mlogloss:0.13180	train-mlogloss:0.01159
[366]	validate-mlogloss:0.13188	train-mlogloss:0.01159
[367]	validate-mlogloss:0.13181	train-mlogloss:0.01159
[368]	validate-mlogloss:0.13162	train-mlogloss:0.01157
[369]	validate-mlogloss:0.13143	train-mlogloss:0.01157
[370]	validate-mlogloss:0.13134	train-mlogloss:0.01157
[371]	validate-mlogloss:0.13126	train-mlogloss:0.01157
[372]	validate-mlogloss:0.13130	train-mlogloss:0.01157
[373]	validate-mlogloss:0.13149	train-mlogloss:0.01154
[374]	validate-mlogloss:0.13147	train-mlogloss:0.01154
[375]	validate-mlogloss:0.13179	train-mlogloss:0.01150
[376]	validate-mlogloss:0.13171	train-mlogloss:0.01150
[377]	validate-mlogloss:0.13144	train-mlogloss:0.01148
[378]	validate-mlogloss:0.13146	train-mlogloss:0.01148
[379]	validate-mlogloss:0.13143	train-mlogloss:0.01148
[380]	validate-mlogloss:0.13136	train-mlogloss:0.01148
[381]	validate-mlogloss:0.13159	train-mlogloss:0.01147
[382]	validate-mlogloss:0.13192	train-mlogloss:0.01143
[383]	validate-mlogloss:0.13186	train-mlogloss:0.01143
[384]	validate-mlogloss:0.13159	train-mlogloss:0.01141
[385]	validate-mlogloss:0.13163	train-mlogloss:0.01141
[386]	validate-mlogloss:0.13173	train-mlogloss:0.01141
[387]	validate-mlogloss:0.13176	train-mlogloss:0.01141
[388]	validate-mlogloss:0.13158	train-mlogloss:0.01139
[389]	validate-mlogloss:0.13158	train-mlogloss:0.01139
[390]	validate-mlogloss:0.13158	train-mlogloss:0.01139
[391]	validate-mlogloss:0.13157	train-mlogloss:0.01138
[392]	validate-mlogloss:0.13148	train-mlogloss:0.01138
[393]	validate-mlogloss:0.13149	train-mlogloss:0.01138
[394]	validate-mlogloss:0.13162	train-mlogloss:0.01138
[395]	validate-mlogloss:0.13172	train-mlogloss:0.01137
[396]	validate-mlogloss:0.13161	train-mlogloss:0.01138
[397]	validate-mlogloss:0.13163	train-mlogloss:0.01137
[398]	validate-mlogloss:0.13202	train-mlogloss:0.01135
[399]	validate-mlogloss:0.13189	train-mlogloss:0.01135
[400]	validate-mlogloss:0.13190	train-mlogloss:0.01135
[401]	validate-mlogloss:0.13190	train-mlogloss:0.01135
[402]	validate-mlogloss:0.13193	train-mlogloss:0.01135
[403]	validate-mlogloss:0.13184	train-mlogloss:0.01135
[404]	validate-mlogloss:0.13209	train-mlogloss:0.01132
[405]	validate-mlogloss:0.13215	train-mlogloss:0.01132
[406]	validate-mlogloss:0.13214	train-mlogloss:0.01132
[407]	validate-mlogloss:0.13197	train-mlogloss:0.01132
[408]	validate-mlogloss:0.13207	train-mlogloss:0.01132
[409]	validate-mlogloss:0.13197	train-mlogloss:0.01132
[410]	validate-mlogloss:0.13232	train-mlogloss:0.01129
[411]	validate-mlogloss:0.13243	train-mlogloss:0.01128
[412]	validate-mlogloss:0.13233	train-mlogloss:0.01126
[413]	validate-mlogloss:0.13226	train-mlogloss:0.01126
[414]	validate-mlogloss:0.13229	train-mlogloss:0.01126
[415]	validate-mlogloss:0.13226	train-mlogloss:0.01126
[416]	validate-mlogloss:0.13244	train-mlogloss:0.01125
[417]	validate-mlogloss:0.13277	train-mlogloss:0.01122
[418]	validate-mlogloss:0.13278	train-mlogloss:0.01122
[419]	validate-mlogloss:0.13264	train-mlogloss:0.01122
[420]	validate-mlogloss:0.13236	train-mlogloss:0.01120
[421]	validate-mlogloss:0.13246	train-mlogloss:0.01120
[422]	validate-mlogloss:0.13242	train-mlogloss:0.01120
[423]	validate-mlogloss:0.13253	train-mlogloss:0.01117
[424]	validate-mlogloss:0.13245	train-mlogloss:0.01117
[425]	validate-mlogloss:0.13245	train-mlogloss:0.01117
[426]	validate-mlogloss:0.13247	train-mlogloss:0.01117
[427]	validate-mlogloss:0.13243	train-mlogloss:0.01117
[428]	validate-mlogloss:0.13239	train-mlogloss:0.01117
[429]	validate-mlogloss:0.13268	train-mlogloss:0.01116
[430]	validate-mlogloss:0.13287	train-mlogloss:0.01113
